year,quarter,inflation,dollar,yuan,oil_cost,cb_rate
2021,0,5.546667,76.2527,11.8024,61.85,4.25
2021,1,6.013333,74.4373,11.5232,70.566667,4.833333
2021,2,6.856667,75.7023,11.5268,75.946667,6.166667
2021,3,8.31,74.3823,11.5036,77.576667,7.25
2022,0,11.533333,77.8174,11.7907,100.036667,12.333333
2022,1,16.946667,83.5485,12.1789,115.663333,16.0
2022,2,14.353333,84.0851,14.8243,98.153333,8.5
2022,3,12.173333,71.0237,13.1569,88.723333,7.5
2023,0,8.746667,69.5927,10.3077,82.716667,7.5
2023,1,2.68,75.4323,10.7928,75.7,7.5
2023,2,5.143333,77.0863,11.1847,89.19,9.333333
2023,3,7.19,80.5093,11.5659,80.973333,14.333333
