year,quarter,dollar
2020,1,66.9909
2020,2,77.7325
2020,3,73.6894
2020,4,70.752
2020,5,69.9513
2020,6,73.3633
2020,7,74.6382
2020,8,79.6845
2020,9,79.3323
2020,10,75.8599
2020,11,73.8757
2021,0,76.2527
2021,1,74.4373
2021,2,75.7023
2021,3,74.3823
2021,4,73.587
2021,5,72.3723
2021,6,73.1388
2021,7,73.5744
2021,8,72.7608
2021,9,70.52
2021,10,74.9818
2021,11,74.2926
2022,0,77.8174
2022,1,83.5485
2022,2,84.0851
2022,3,71.0237
2022,4,63.0975
2022,5,51.158
2022,6,61.3101
2022,7,60.3677
2022,8,57.413
2022,9,61.5343
2022,10,61.0742
2022,11,70.3375
2023,0,69.5927
2023,1,75.4323
2023,2,77.0863
2023,3,80.5093
2023,4,80.6872
2023,5,87.0341
2023,6,90.9783
2023,7,95.9283
2023,8,97.4147
2023,9,93.2435
2023,10,88.8841
2023,11,89.6883
